sample_name,ECDF Percentile Count_0,ECDF Percentile Count_1,ECDF Percentile_0,ECDF Percentile_1,ECDF_0,ECDF_1,ECDF_2,ECDF_3,ECDF_4,ECDF_5,ECDF_6,ECDF_7,ECDF_8,ECDF_9,Histogram_0,Histogram_1,Histogram_2,Histogram_3,Histogram_4,Histogram_5,Histogram_6,Histogram_7,Histogram_8,Histogram_9,Interquartile range,Kurtosis,Max,Mean,Mean absolute deviation,Median,Median absolute deviation,Min,Root mean square,Skewness,Standard deviation,Variance
MAC000360-2012-09,298.0,1194.0,0.086,0.23,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1137.0,264.0,67.0,18.0,6.0,0.10300000000000001,6.643455563484592,1.075,0.16589484259879436,0.0900248904353381,0.114,0.034,0.0,0.2099293999909875,2.2635395472516215,0.12864390455710392,0.01654925417969726
MAC000360-2012-10,298.0,1194.0,0.093,0.305,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,976.0,349.0,126.0,31.0,7.0,0.171,5.26621980003897,1.341,0.20478097796383124,0.11866893289290636,0.136,0.05000000000000002,0.0,0.2585350172330625,1.998108048818827,0.15781351716464853,0.024905106199876816
MAC000360-2012-11,298.0,1194.0,0.084,0.302,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,969.0,368.0,107.0,36.0,12.0,0.18300000000000002,3.566499671850292,1.008,0.19765170797052917,0.1217779591206833,0.132,0.053000000000000005,0.0,0.25462324715277457,1.7630404347531188,0.16052040470593007,0.02576680032695558
MAC000360-2012-12,298.0,1194.0,0.084,0.294,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,995.0,336.0,103.0,46.0,11.0,0.169,4.433339590860836,1.239,0.19881580709979907,0.12048689194360465,0.136,0.05600000000000001,0.0,0.2568006698958196,1.9763602890520728,0.16253879200423885,0.026418858906197214
MAC000360-2013-01,298.0,1194.0,0.084,0.28,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1011.0,347.0,97.0,23.0,9.0,0.162,6.954073808119311,1.217,0.1895840590087073,0.11185415941802983,0.128,0.048,0.0,0.2439866493668384,2.284247780153986,0.15358180113229405,0.023587369639039523
MAC000360-2013-02,298.0,1194.0,0.077,0.211,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1167.0,233.0,63.0,20.0,7.0,0.09499999999999999,11.034797968084984,1.436,0.15318888144675152,0.0943636573265101,0.1,0.038000000000000006,0.0,0.2088445086687023,2.6660144684128566,0.14194786156249337,0.02014919540216478
MAC000360-2013-03,298.0,1194.0,0.083,0.259,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1089.0,290.0,72.0,19.0,19.0,0.131,9.006626537599432,1.293,0.1785833891493637,0.10536444465778905,0.118,0.038000000000000006,0.0,0.23476053980934278,2.645276119145615,0.15238268986830802,0.02322048417150094
MAC000360-2013-04,298.0,1194.0,0.088,0.239,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1090.0,301.0,69.0,19.0,14.0,0.118,7.331358079918141,0.988,0.17600870730073678,0.09569970422363978,0.13,0.044999999999999984,0.0,0.2241563434512708,2.3702111138302278,0.1388056240350788,0.019267001263767642
MAC000360-2013-05,298.0,1194.0,0.09,0.233,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1119.0,273.0,71.0,23.0,6.0,0.10800000000000001,8.367206438884747,1.169,0.17154722036168787,0.08897852312802454,0.119,0.036000000000000004,0.0,0.21458327345302056,2.5473872425235213,0.1289090083430646,0.016617532431992297
MAC000360-2013-06,298.0,1194.0,0.085,0.22,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1148.0,263.0,64.0,15.0,2.0,0.097,8.579553165843533,1.1059999,0.1606818485599464,0.08389177797329714,0.116,0.035,0.0,0.201547665178193,2.439223691838675,0.1216667780544033,0.014802804882139432
