sample_name,Absolute energy,Area under the curve,Autocorrelation,Centroid,Entropy,Mean absolute diff,Mean diff,Median absolute diff,Median diff,Negative turning points,Neighbourhood peaks,Peak to peak distance,Positive turning points,Signal distance,Slope,Sum absolute diff,Total energy,Zero crossing rate
MAC000003-2012-11,1777.6016002742012,9.49232999800001,1777.601600274201,7.36683467443675,0.8379756472170646,0.21616465716198127,-0.00018473895582329415,0.05800000000000001,-0.0020000000000000018,420.0,49.0,3.921,424.0,1610.6834278248743,-6.58915320269147e-05,322.9499978,118.98270416828656,5.0
MAC000003-2012-12,2665.340536090802,12.424319991,2665.3405360908023,6.71748341049631,0.8619177342779002,0.2442248985274431,-9.370816599732717e-06,0.06399999999999997,-0.006499999999999992,428.0,59.0,6.6279998,429.0,1637.6705443702572,-0.00022011544039229875,364.8719984,178.40298099670696,4.0
MAC000003-2013-01,2100.342107328802,10.692325029,2100.342107328801,7.652709234275467,0.8522248672649179,0.20727510107095046,-0.001236278447121823,0.061,-0.0050000000000000044,438.0,52.0,6.2800002,439.0,1607.6656448517922,1.386265274465035e-05,309.669001,140.58514774623842,4.0
MAC000003-2013-02,2250.6484687660018,10.741085009000003,2250.6484687660013,6.617866634676042,0.8096299304157717,0.20360575582329318,-0.0012938420348058885,0.05000000000000001,0.0,372.0,49.0,6.106,376.0,1613.261115670832,-0.0003335795928320086,304.1869992,150.6458145091032,5.0
MAC000003-2013-03,1970.1530463076017,9.5404899915,1970.1530463076015,6.8272637524436846,0.8442351153746035,0.1582663987282463,-0.002040160575635878,0.039,-0.0010000000000000009,401.0,57.0,3.7290001,418.0,1580.2910078919958,-0.00025669007834424625,236.44999969999998,131.87102050251684,6.0
MAC000003-2013-04,1215.596391008001,7.164804994499999,1215.596391008001,3.358670979586449,0.8135162193479901,0.17847858199464525,-0.0023795181392235634,0.04899999999999999,-0.0040000000000000036,420.0,63.0,3.757,422.0,1580.8128267984473,-0.0006285719657694689,266.6470015,81.36522028166004,5.0
MAC000003-2013-05,250.66602686380014,3.7342399989999953,250.66602686380017,7.5497591271127655,0.7991887585135439,0.17105354752342702,-0.0009718875502008042,0.0525,-0.007000000000000006,442.0,71.0,2.952,444.0,1559.9052680907694,-5.012031928978719e-06,255.55399999999997,16.77818118231594,6.0
MAC000003-2013-06,234.23398592160015,3.5927749960000006,234.23398592160012,7.190462631506056,0.7920712775617201,0.155257697188755,-0.0009337349397590372,0.04500000000000001,-0.003999999999999997,408.0,67.0,2.798,412.0,1553.4342188349024,-2.887309078174184e-05,231.9549996,15.678312310682742,5.0
MAC000003-2013-07,224.38426596120013,3.6791950069999997,224.38426596120016,7.505453127016872,0.8001687151876752,0.1597249,-0.0008801874163319943,0.0485,-0.0050000000000000044,433.0,76.0,2.908,435.0,1556.861105182087,7.3035715347212385e-06,238.6290006,15.019027172771093,4.0
MAC000003-2013-08,220.73531526060015,3.5534450009999974,220.73531526060012,7.221874086641292,0.7969178507904536,0.15836345381526104,-0.0009645247657295857,0.05399999999999999,-0.0059999999999999915,422.0,64.0,2.802,424.0,1554.380065480223,-2.603280965544795e-05,236.595,14.774786831365471,4.0
MAC000003-2013-09,228.34979769400007,3.5814899989999986,228.34979769400002,7.06170529691639,0.7904886798509428,0.15856091030789826,-0.0009678714859437742,0.053000000000000005,-0.0010000000000000009,403.0,70.0,2.934,408.0,1552.8071733923223,-6.003150150294468e-05,236.89,15.28445767697457,5.0
MAC000003-2013-10,222.35536849260012,3.4748949979999995,222.3553684926001,7.362235938873842,0.7878376414295662,0.16273828634538154,-0.0009082998661311913,0.055999999999999994,-0.0059999999999999845,435.0,67.0,2.782,439.0,1553.2350820222173,-9.068291064208472e-06,243.1309998,14.883224129357439,4.0
MAC000003-2013-11,622.7732217592004,5.363780011000001,622.7732217592004,9.075095955701409,0.8018422474647643,0.160551540562249,-0.0008714859437751034,0.052,-0.0010000000000000009,418.0,61.0,2.7190001,422.0,1562.0060585766491,0.00012882657273344286,239.8640016,41.68495460235612,5.0
MAC000003-2013-12,550.6686447398004,5.061280001999998,550.6686447398002,8.954466496982596,0.803802782097565,0.16759437791164658,-0.0008286479250334656,0.05299999999999999,-0.007000000000000006,434.0,61.0,2.902,438.0,1562.6122076724596,0.00010633618988572103,250.3860006,36.85867769342707,4.0
MAC000003-2014-01,971.7706998858006,6.511419985,971.7706998858007,7.86589166720913,0.7848010257744483,0.1806613123159304,3.212851405622604e-05,0.05,-0.0025000000000000022,471.0,65.0,2.964,476.0,1579.4844501361608,5.09472371341101e-05,269.90800060000004,65.04489289730928,4.0
